Asset_Category,Asset_Class,Asset_Subclass,Asset_Type,Asset_Subtype
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Fleet,Light Fleet,Motorcycle
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Fleet,Light Fleet,Passenger Shuttle
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Fleet,Light Fleet,Sedan
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Fleet,Light Fleet,Station Wagon
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Fleet,Light Fleet,Ute
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Fleet,Light Fleet,Utility Vehicle
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Fleet,Light Fleet,Van
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Fleet,Miscellaneous,Miscellaneous
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Major Plant,Boat
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Major Plant,Boat - Motor
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Major Plant,Caravan
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Major Plant,Compaction Equipment
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Major Plant,Compressor
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Major Plant,Compressor - Tank
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Major Plant,Crane - Fixed
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Major Plant,Display Board - Portable
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Major Plant,Drum Roller
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Major Plant,Emulsion Sprayer - Skid Mounted
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Major Plant,Excavator
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Major Plant,Forklift
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Major Plant,Generator - Fixed
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Major Plant,Hoist
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Major Plant,Hoist - Scissor
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Major Plant,Ice Maker
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Major Plant,Loader
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Major Plant,Mower
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Major Plant,Seeder
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Major Plant,Site Hut
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Major Plant,Sweeper/Scrubber
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Major Plant,Ticket Box
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Major Plant,Trailer
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Major Plant,Wood Chipper
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Minor Plant,Auger
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Minor Plant,Blower
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Minor Plant,Brushcutter
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Minor Plant,Chainsaw
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Minor Plant,Compaction Equipment
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Minor Plant,Compressor - Portable
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Minor Plant,Concrete Mixer
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Minor Plant,Concrete Saw
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Minor Plant,Confined Space Equipment
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Minor Plant,Drain Cleaner
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Minor Plant,Electric Bike
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Minor Plant,Fall Arrest Equipment
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Minor Plant,Fridge - Portable
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Minor Plant,Generator - Portable
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Minor Plant,Golf Ball Retriever
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Minor Plant,Gum Remover
